,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
PUSHI,X11,PoW/PoS,2167827.1,25000000,-0.387399459211571,1.2770995578602422,-0.37218167432389127,Pushi,0
ELP,XEVAN,PoW/PoS,419275.38,60000000,-0.3336141093836346,1.4318712420460118,-0.5944664857207917,Ellerium,0
VLX,Scrypt,PoS,25570013.1348022,124000000,-0.2906609074545608,0.8199267515197033,-0.2829325976269458,Velox,0
ONT,VBFT,PoS,650848625.0,1000000000,-0.33826462498392956,1.6177748417033029,-0.22203161350810427,Ontology,0
CLO,Ethash,PoW,247612453.0,6500000000,-0.11802420368713513,-1.9751301156467145,0.38565258829613197,Callisto Network,1
TUBE,CryptoNight,PoW,80049082.9057215,1000000000,0.30027341819957293,-2.2989147936085934,0.3286453048836016,BitTube,1
PSD,Scrypt,PoW,4070212.1493016,21000000,-0.1711922223308778,-1.1441743355336067,-0.07101318744163625,Poseidon,1
ADK,IMesh,PoW,25000000.0,25000000,-0.1744688809938895,-2.1988903686622274,0.1778939128348269,Aidos Kuneen,1
BSX,NIST5,PoW/PoS,13787854.6277781,50000000,-0.3431585820467055,1.5138643148686144,-0.5361456525046232,Bitspace,0
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000,-0.32636867716332785,0.9806617707766395,-0.563914185050316,Briacoin,0
IC,Scrypt,PoW/PoS,1182153.5,5000000,-0.3263503933051886,0.9806609866900016,-0.5639144053121857,Ignition,0
BTL,Equihash,PoW,71355477.0,70000000,-0.14719879144037434,-1.9369261389058967,0.4227722797073415,Bitrolium,1
MEDIC,Scrypt,PoS,267297676.3125,500000000,-0.28504269743736105,0.8198614555964475,-0.28301741246681505,MedicCoin,0
ALPS,Lyra2Z,PoW,27340501.6514783,300000000,-0.15545547383513694,-2.1982819761305175,0.33086054177352225,Alpenschillling,1
BITG,Green Protocol,PoS,9803691.3618195,21000000,-0.36249374602086665,1.6639994691720694,0.004386022015397389,Bitcoin Green,0
DEV,PoS,PoS,21876586.8530324,88000000,-0.36689240724348526,1.6911544370840996,-0.05083166316777919,Deviant Coin,0
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000,-0.3260669532631822,0.9806532523735313,-0.5639182511038133,Abjcoin,0
SEM,Semux BFT consensus,DPoS,1231147.0,100000000,3.9223823553191606,1.8300982243064132,-0.2334430339210755,Semux,0
FTO,X11,PoW,31801461.1867843,100000000,-0.2314963911727226,-0.8477511566331437,0.12070895526809049,FuturoCoin,1
CARE,Quark,PoW/PoS,139739596.506702,200000000,-0.3931487120300424,1.693989690494684,-0.48017091772097986,Carebit,0
NZL,PoS,PoS,11075254.0929996,80000000,-0.36708108768205006,1.6911532229724417,-0.05082848241445283,Zealium,0
XMC,CryptoNight,PoW,16016864.0,18400000,0.29253552249667103,-2.2984834331744937,0.32872881270113524,Monero Classic,1
PROTON,X16R,PoS,4403800.0,45000000,-0.3215432221445029,0.7277961215848012,-0.10830079748371516,Proton,0
DEAL,Scrypt,PoW/PoS,1404157529.46026,5121951220,-0.272948155913376,0.9789043031946333,-0.5646097668855583,iDealCash,0
JUMP,NIST5,PoW,21069346.2522598,21000000,-0.18826558310872035,-0.6109478601806465,-0.0432423888718113,Jumpcoin,1
INFX,Lyra2RE,PoW,5097689.71077377,26280000,-0.16066046509227966,-2.187207492451007,0.3480576443301269,Infinex,1
XBI,XEVAN,PoS/PoW,10904963.0923455,21000000,-0.33481640863950335,1.0629596484378672,-0.41395921854736634,Bitcoin Incognito,0
KEC,Tribus,PoW,795447.0,18000000,-0.15771681177776226,-2.2397303347291992,0.4286104870042738,KEYCO,1
HWC,Scrypt,PoS,38706809.466535,26000000,-0.2911947809560107,0.8199788029946894,-0.28292901043142255,HollyWoodCoin,0
GIN,Lyra2Z,PoW,6986399.70430446,10500000,-0.15775554051933327,-2.198155432478557,0.33088552781537517,GINcoin,1
PLTC,CryptoNight,PoW,84300.0,600000518,0.296461922781706,-2.298763802265767,0.3286924367805357,PlatinCoin,1
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000,0.5711470519101454,-2.2300570975138516,0.29718483545368735,Loki,1
NCP,CryptoNight,PoW,41294520017.0,184000000000,2.1006207590919277,-2.365862869750862,0.3059561977095535,Newton Coin,1
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000,-0.12947948109424734,0.9805674101799104,-0.567100525408166,Swisscoin,0
XT3,Scrypt,PoS,7630000.0154,44000000,-0.29144700063392187,0.819956053977972,-0.2829226976783118,Xt3ch,0
MGD,Jump Consistent Hash,PoW,135862416.039898,168000000,-0.16080521362873085,-2.158607669299854,0.3700754908910175,MassGrid,1
VIG,SHA-256D,PoW/PoS,33238183.7225834,100000000,-0.32560587528652335,1.8323039275957755,-0.7036779182290593,TheVig,0
PLURA,CryptoNight,PoW,560085952.404637,1000000000,0.30613955030244433,-2.2986939241530258,0.3285285505662393,PluraCoin,1
EMAR,Scrypt,PoW/PoS,21599339.6728,84000000,-0.32554111443988504,0.9806332934625619,-0.5639248385502093,EmaratCoin,0
DKD,X15,PoS,30284196.369129,90000000,-0.2016275021950141,1.7597122034086112,-0.27554575849762536,Dekado,0
LYNX,Scrypt,HPoW,77872059787.8998,92000000000,2.261374483654605,0.23281300912507397,-0.46132562423768125,Lynx,0
POSQ,Quark,PoS,2716264.95302831,650000000 ,-0.3570863019890194,1.533025797156619,-0.19917275932269127,Poseidon Quark,0
BWS,SHA-256,PoS,57811001.000889,100262205,-0.271398893989019,0.6907825565367628,-0.02794730861034559,BitcoinWSpectrum,0
MUSE,DPoS,PoS,18194936.0,18081806 ,1.0136535932503843,1.670371855697903,-0.20051404135006715,Muse,0
XMN,X16R,PoW,8125865.02097646,22075700,-0.20119892196772662,-1.2363309530162718,0.10360693642549787,Motion,1
PLUS1,HMQ1725,PoW,8645406.16776286,21000000,-0.14841154246446658,-2.193694795294848,0.192542090606131,PlusOneCoin,1
AXE,X11,PoW,4993030.69736615,21000000,-0.23238377212943861,-0.8477264040770196,0.12072094298122796,Axe,1
TRVC,X16R,PoW/PoS,36923120.6205934,82546564,-0.35542803656286703,0.8884830478800797,-0.3893072802765166,Trivechain,0
DTEM,Quark,PoS,7082392.24744494,21000000,-0.3614899088541313,1.5333230965984614,-0.19913028982684772,Dystem,0
GIC,Quark,PoW/PoS,5919489.76813523,5151000,-0.39616467549545736,1.694019592486659,-0.4801248850814132,Giant,0
PNY,Scrypt,PoS,1042012.45227735,16880000000,-0.1722311526119465,0.8120491887142445,-0.2840862702933317,Peony Coin,0
ABS,Lyra2REv2,PoW/PoS,13332617.9413708,52500000,-0.3508402667553565,0.9390750731641717,-0.27990267688384524,Absolute Coin,0
VITAE,Quark,PoS,66053877.6256106,100000000,-0.36020948990221646,1.533313142564855,-0.19915010022144217,Vitae,0
HEX,Scrypt,PoW,1416663.06600024,22105263,-0.17121681749039705,-1.1441760753335004,-0.07101261853913367,HexCoin,1
TPC,Scrypt,PoW/PoS,5403802.49590733,1000000000,-0.3192484433471647,0.9801958160846286,-0.5639842934125473,TPCash,0
WEBC,CryptoNight-V7,PoW,15580199.3087496,1750000000,-0.14664397289892275,-2.1995934482400585,0.3285910032125627,Webchain,1
RYO,Cryptonight-GPU,PoW,4890897.0,88188888,-0.16614511033732193,-2.1280220762102124,0.3658219180793242,Ryo,1
URALS,XEVAN,PoW,14746153.0962884,210000000,-0.17736665828536266,-0.6930217247537528,-0.10157732377873682,Urals Coin,1
QWC,CryptoNight Heavy,PoW,99553110528.8022,184470000000,3.0935216619885906,-2.2707915200762456,0.26021993957896217,Qwertycoin,1
ARE,X11,PoS,19269509.94,55000000,-0.35242964695708984,1.1164037522209433,-0.09119193504439047,ARENON,0
EUNO,X11,PoW/PoS,30771125.9760867,50000000,-0.3868727772986888,1.2771009819975276,-0.3721903613870912,EUNO,0
MMO,Scrypt,PoS,107763867.917675,260000000,-0.28869281719369316,0.8199007230769109,-0.2829620009730718,MMOCoin,0
KETAN,PoS,PoS,9327131.59708692,210000000,-0.36618129738298344,1.691091388802385,-0.0508370541924892,Ketan,0
PPAI,SHA-256,PoW,2100000000.0,2100000000,-0.11181202343194342,-1.2733561599621461,0.18332464734974602,Project Pai,1
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000,-0.33754955702160766,0.9441354631968704,-0.36468046289134726,XDNA,0
PAXEX,X11,PoS,4504639.0,100000000,-0.3522912156547872,1.1163758330509375,-0.091191458270914,PAXEX,0
AZART,X11,PoW,5015881.37315389,25000000,-0.2323551497317453,-0.8477282714045185,0.12072066059409908,Azart,1
TSC,Scrypt,PoW/PoS,1059954080.43439,18000000000,-0.1859032359341783,0.9727001989727195,-0.5654173055291591,ThunderStake,0
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000,-0.07668406625012936,0.3200118968021936,-0.004405988564032264,Kcash,0
XCG,X16R,PoW,9753753.61515394,100000000,-0.20062687369502313,-1.2363667863768728,0.10360114755699094,Xchange,1
